From	To
P20393	NR1D1
P19793	RXRA
P18615	NELFE
P15927	RPA2
P14921	ETS1
P13010	XRCC5
P12956	XRCC6
P12004	PCNA
P11474	ESRRA
P09012	SNRPA
P04908	H2AC4
P04908	H2AC8
P04150	NR3C1
O95718	ESRRB
O60814	H2BC12
O60341	KDM1A
O60260	PRKN
O14717	TRDMT1
O14646	CHD1
O00512	BCL9
O00482	NR5A2
P00740	F9
O14727	APAF1
P54725	RAD23A
P22362	CCL1
P51671	CCL11
Q07812	BAX
P02788	LTF
Q9Y258	CCL26
P01034	CST3
P09919	CSF3
Q02297	NRG1
P02655	APOC2
Q13526	PIN1
P47992	XCL1
P39900	MMP12
O43602	DCX
P04004	VTN
P06734	FCER2
Q8WZ42	TTN
Q8IVG9	MT-RNR2
P54252	ATXN3
P19634	SLC9A1
P10721	KIT
Q15109	AGER
P52597	HNRNPF
Q92945	KHSRP
Q13029	PRDM2
P08514	ITGA2B
P33763	S100A5
Q04656	ATP7A
Q8IW19	APLF
P62495	ETF1
P55145	MANF
P15309	ACP3
Q96FQ6	S100A16
P10997	IAPP
Q14061	COX17
Q07955	SRSF1
P04275	VWF
O60493	SNX3
P09237	MMP7
P08631	HCK
P09429	HMGB1
P52799	EFNB2
Q15843	NEDD8
Q9NXV2	KCTD5
O95292	VAPB
P02511	CRYAB
P26447	S100A4
P53816	PLAAT3
O14713	ITGB1BP1
P07237	P4HB
O00214	LGALS8
P01215	CGA
P01112	HRAS
Q9UJX6	ANAPC2
Q13569	TDG
Q92886	NEUROG1
P53999	SUB1
Q5VZK9	CARMIL1
Q13542	EIF4EBP2
P49790	NUP153
Q8WUG5	SLC22A17
P45985	MAP2K4
P22059	OSBP
P55957	BID
P25024	CXCR1
P10912	GHR
P55212	CASP6
O75907	DGAT1
Q8WYP5	AHCTF1
P11166	SLC2A1
O60741	HCN1
Q8IV16	GPIHBP1
Q8IXK0	PHC2
P22626	HNRNPA2B1
P78382	SLC35A1
Q9UMX1	SUFU
O60701	UGDH
O00755	WNT7A
P56706	WNT7B
Q05996	ZP2
P49913	CAMP
P27695	APEX1
P0DMM9	SULT1A3
P0DN86	CGB3
P0DN86	CGB5
P0DN86	CGB8
P49918	CDKN1C
P14061	HSD17B1
P05204	HMGN2
P78356	PIP4K2B
P04818	TYMS
P11387	TOP1
Q14722	KCNAB1
P50440	GATM
P10163	PRB4
P22531	SPRR2E
O75324	SNN
P10114	RAP2A
Q9NVS9	PNPO
O00273	DFFA
P16949	STMN1
P11473	VDR
P20810	CAST
O60927	PPP1R11
P07476	IVL
P05455	SSB
P35611	ADD1
P35612	ADD2
P51946	CCNH
P06132	UROD
P24071	FCAR
O43464	HTRA2
P05121	SERPINE1
Q9UM07	PADI4
P11309	PIM1
O14832	PHYH
P21815	IBSP
P16442	ABO
P62328	TMSB4X
Q15185	PTGES3
Q16222	UAP1
Q15382	RHEB
P53041	PPP5C
Q9NR00	TCIM
O00204	SULT2B1
Q96T21	SECISBP2
P43351	RAD52
Q9Y613	FHOD1
